device,policy,freq_khz,static,active,idle0,idle1
Tensor G4,4,357000,0,39.49,6.1,0
Tensor G4,4,578000,0,62.09,6.5,0
Tensor G4,4,648000,0,70.05,6.93,0
Tensor G4,4,787000,0,83.26,7.31,0
Tensor G4,4,910000,0,97.12,7.55,0
Tensor G4,4,1065000,0,116.15,7.9,0
Tensor G4,4,1221000,0,138.37,8.47,0
Tensor G4,4,1328000,0,155.59,8.94,0
Tensor G4,4,1418000,0,172.52,9.37,0
Tensor G4,4,1549000,0,200.69,10.21,0
Tensor G4,4,1795000,0,267.18,11.89,0
Tensor G4,4,1945000,0,317.06,13.58,0
Tensor G4,4,2130000,0,388.15,16.02,0
Tensor G4,4,2245000,0,430.4,17.54,0
Tensor G4,4,2367000,0,504.35,20.92,0
Tensor G4,4,2450000,0,579.03,23.39,0
Tensor G4,4,2600000,0,674.24,31.07,0
Tensor G4,7,700000,0,211.41,17.97,0
Tensor G4,7,1164000,0,375.49,20.24,0
Tensor G4,7,1396000,0,491.17,22.35,0
Tensor G4,7,1557000,0,589.06,24.29,0
Tensor G4,7,1745000,0,742.95,26.79,0
Tensor G4,7,1885000,0,862.73,28.61,0
Tensor G4,7,1999000,0,965.94,30.04,0
Tensor G4,7,2147000,0,1136.58,32.65,0
Tensor G4,7,2294000,0,1309.39,35.62,0
Tensor G4,7,2363000,0,1415.82,37.93,0
Tensor G4,7,2499000,0,1669.61,42.96,0
Tensor G4,7,2687000,0,2052.32,52.16,0
Tensor G4,7,2802000,0,2354.18,60.2,0
Tensor G4,7,2914000,0,2789.17,77.16,0
Tensor G4,7,2943000,0,2840.06,79.64,0
Tensor G4,7,2970000,0,2949.03,84.78,0
Tensor G4,7,3015000,0,3029.38,87.22,0
Tensor G4,7,3105000,0,3327.56,99.47,0
